word,count
wrong,13424
work,13370
went,13126
want,13006
wait,12961
totally,12259
tell,11937
sudden,11592
starts,11338
standing,11316
sounds,11081
sex,10519
school,10309
ring,9941
right,9934
relax,9737
realize,9607
phone,8824
people,8717
okay,8252
oh,8232
nice,8019
naked,7893
mon,7692
middle,7515
look,6967
like,6834
know,6548
just,6401
joey,6316
instead,6064
hump,5811
high,5577
having,5437
hairpiece,5325
guy,5293
gotta,5115
going,5063
everybody,4105
eat,3798
dream,3642
don,3547
does,3521
dinner,3394
date,3106
chalk,2086
cause,2031
carl,1951
cafeteria,1830
alright,466
